具体的な達成目標,5領域
日時が分かるようになることを目指す。,認知や行動
不安な気持ちを言葉で表出できるようになる事を目指す。,"言語やコミュニケーション
人間関係や社会性"
自分の気持ちや意思を伝えながら、他者と適切に関わることができるようになる。,"言語やコミュニケーション
人間関係や社会性"
施設でのルーティンや流れを職員と一緒に覚える。,"健康や生活
認知や行動"
様々なことを経験してみる。,"健康や生活
認知や行動"
身体を動かす楽しみを知ることができる,運動や感覚
手が汚れる感覚を表現することができる。,運動や感覚
短い言葉で気持ちを伝えられるようになる。,"言語やコミュニケーション
人間関係や社会性"
職員との信頼関係の中で、安心して過ごせるようになる。,人間関係や社会性
友達との関わりを楽しもうとする気持ちを持つことができる。,人間関係や社会性
相手との距離の間隔を感じることが出来るようになる。,人間関係や社会性
落ち着いて過ごすことができる,"健康や生活
運動や感覚"
適度に体を動かして、気持を整えることができる。,"健康や生活
運動や感覚"
４月の転校で、新しい環境に慣れることができる。,"健康や生活
運動や感覚"
自分の行動を振りかえることができる。,認知や行動
自分の感情や気持ちを、相手に伝わりやすい言葉で伝える事ができる。,言語やコミュニケーション
困っている人に気がついて、手助けする事ができる。,"人間関係や社会性
認知や行動"
相手の気持ちを考えることができる。,"人間関係や社会性
認知や行動"
楽しく過ごそう,"健康や生活
認知や行動"
身体を動かすことを楽しもう,運動や感覚
自分なりの方法でコミュニケーションを取れるようになろう,"言語やコミュニケーション
人間関係や社会性"
職員と一緒に到着後のルーティンを覚えることができる,"健康や生活
認知や行動"
簡単な社会的なマナーやルールを少しずつ身に付けて行く。,"健康や生活
認知や行動"
適度に身体を動かしたり、正しい姿勢で座っていられる時間を増やす。,運動や感覚
「○○したい」と気持ちを伝えることができるようになる。,言語やコミュニケーション
友達と一緒に遊ぼう。,人間関係や社会性
集団活動を最後までやりきる,認知や行動
音の刺激から自分をまもりたい,運動や感覚
安心できる位置で参加したい,言語やコミュニケーション
身体を落ち着かして過ごしたい,健康や生活
無理なく集団に入れるようになる,人間関係や社会性
基本的生活リズムを整え、疲労時の情緒不安定を軽減する,健康や生活
安全行動の理解と実践を安定させる,健康や生活
運動能力の強みを活かし成功体験を積む,運動や感覚
身体活動を通じて情緒安定を図る,運動や感覚
衝動的行動のコントロール力を高める,認知や行動
自分の行動が相手に与える影響を理解する,認知や行動
困った時に言葉で伝える力を伸ばす,言語やコミュニケーション
友達との円滑なやり取りを増やす,言語やコミュニケーション
友達との関係調整力を育てる,人間関係や社会性
集団の中で安心して過ごせる力を育む,人間関係や社会性
友達と過ごす時間を楽しむことができる。,健康や生活
楽しく身体を動かしてみよう,運動や感覚
人との距離を意識できるようになろう,"認知や行動
人間関係や社会性"
友達と遊んだりおしゃべりしていて意見が分かれた時にはには「どうしようか？」と考えてみることができる,"言語やコミュニケーション
人間関係や社会性
認知や行動"
困った時には助けを求めることができるようになろう,"言語やコミュニケーション
人間関係や社会性
認知や行動"
自分の気持ちを言葉で伝えられるようになろう,"言語やコミュニケーション
人間関係や社会性
認知や行動"
気持ちの切り替えや場面の読み取りができることを目指し、集団活動へスムーズに参加出来る様になる。,認知や行動
傾聴する姿勢を身に着けられるようになる。,言語やコミュニケーション
日常生活における基本的なスキルの自立を目指す。,健康や生活
体幹を強くする。,運動や感覚
他者への配慮が上手に出来る様になる。,人間関係や社会性
難しい漢字も読めるように努力する。,言語やコミュニケーション
手先が器用になる。,運動や感覚
学習についていけるようになる。,健康や生活
相手との適切な距離感を意識出来るようになる。,人間関係や社会性
危険認知能力向上させる。,認知や行動
相手の発言を聞き、内容を正確に理解する,言語やコミュニケーション
健康的な食生活を送るための土台を作る。,健康や生活
粗大運動の定期的実践。,運動や感覚
自己対話の中に感謝の言葉を取り入れる。,認知や行動
順番を待つことができるようになる。,人間関係や社会性
安心できるスタッフとの関係を基盤に、他者への信頼感を育む。,人間関係や社会性
自分の体調の変化に気づき、スタッフに伝えられるようになる。,健康や生活
運動を通じて感情調整や注意力のコントロールができるようになる。,運動や感覚
複数の選択肢から自分の意図に合った素材や技法を選択できるようになる,認知や行動
様々な感情を表す言葉を習得し、自分の感情状態を適切に言語化できるようになる。,言語やコミュニケーション
整理整頓の重要性を学ぶ,健康や生活
話の途中で遮らず、順番を待つことができる,人間関係や社会性
バランス感覚を高める。,運動や感覚
痛みを感じたときの適切な対応行動ができるようになる。,認知や行動
本児の想いを言語化して言葉で返せるようになる。,"言語やコミュニケーション	"
感情の波が大きい時には、自己調整能力の向上を支援します,人間関係や社会性
日常生活でのルールなどを身に着けられるよう支援する。,健康や生活
バランスと協調性を要する活動への挑戦する。,運動や感覚
感謝や謝罪の表現との適切な組み合わせを学ぶ。,言語やコミュニケーション
主体的に宿題へ向かう姿勢を養う。,認知や行動
心身のバランスを整え、将来につながる健康的な基盤を築いていく。,健康や生活
表現力の向上を目指す。,運動や感覚
他者と信頼関係を築く。,人間関係や社会性
集団活動に積極的に参加する。,"言語やコミュニケーション	"
他者と関わるスキルを身に着ける。,認知や行動
デイサービスに慣れ、安心して楽しく過ごすことができる。,"人間関係や社会性
言語やコミュニケーション"
視覚支援など、見通しを持って行動ができるようにしていく。,"認知や行動
健康や生活
運動や感覚"
"持ち物をわかりやすく表示するなど、本児が意識して管理ができるように声かけなど工夫していく。
・学校の下校時やデイからの帰宅時に持ち物の確認をして忘れ物がなくなるようになる。",認知や行動
宿題などの学習が週間化して取り組むことができるようになる。,"人間関係や社会性
言語やコミュニケーション
認知や行動"
"活動や学習に取り組む中で集中力をみにつけることができる。
・みんなと一緒でも学習に取り組めるようになる。","認知や行動
人間関係や社会性
運動や感覚"
イライラしたり思い通りにいかなくても、上手く気持ちを切り替えたり、相手の気持ちが理解できるようになる。,"言語やコミュニケーション
認知や行動"
"デイでの活動の流れを把握して、みんなと一緒に活動することができる。
・時間を守ることができるようになる。","健康や生活
人間関係や社会性"
タイマーや絵カードを使い、予告された時間で次の活動に移ることができる 。意の切り替えとルールの遵守,"人間関係や社会性
言語やコミュニケーション"
順番や役割交代を、大人の仲介を得ながら受け入れることができる,"健康や生活
認知や行動"
ジャンプや平均台など、体幹を使う運動を楽しみながら行う 。,運動や感覚
気持ちを切り替えて、スムーズに次の行動に移ることが出来る。,"言語やコミュニケーション
認知や行動"
自分の気持ちを表現しながら、お友達と仲良く遊ぶことができる。,"運動や感覚
人間関係や社会性"
トイレで排泄ができるようになる。,"健康や生活	"
感情が高まった際、クールダウン場所へ移動することが出来る。,"人間関係や社会性
認知や行動"
乱暴な言葉の代わりに決められた表現を使用する。,"人間関係や社会性
認知や行動"
「書く」ことを楽しみながら取り組めるようになる。,認知や行動
指示を理解し、自分の置かれている状況を把握し、適切に行動出来る,認知や行動
集団または小集団の一員であることを自覚し、協力する喜びを知る。,"言語やコミュニケーション
人間関係や社会性"
危険察知能力の獲得,"健康や生活
認知や行動"
自分の想いや考えを自信を持って表現できるようになる。,"人間関係や社会性
言語やコミュニケーション"
先の予定や行動を意識し、気持ちの準備が出来るようになる。,認知や行動
こまめな水分補給をしながら、適度な運動で気持ちを発散させる。,"運動や感覚
健康や生活"
新しい環境に慣れ、お友達と楽しく過ごすことができる。,"人間関係や社会性
言語やコミュニケーション"
先の行動に見通しを持ち、身辺自立が向上する。,"健康や生活
認知や行動	"
運動遊びや活動を通して、体幹力が向上する,運動や感覚
先の予定や次の行動に見通しを持ち、事前に準備をすることができる。,"健康や生活
認知や行動"
相手の話の意図を理解し、自分の考えを伝える事ができる。,"言語やコミュニケーション
人間関係や社会性"
気持ちを発散し、落ち着いて学習に取り組むことができる,運動や感覚
新しい環境に慣れ、友達と一緒に色々な活動に楽しく参加することが出来る,人間関係や社会性
健康的な運動を小集団で楽しむことができる,"健康や生活
運動や感覚"
先の予定や次の行動に見通しを持ち、スムーズに気持ちを切り替えることができる。,"認知や行動
言語やコミュニケーション"
新しい環境のお友達や先生と楽しく過ごすことができる。,"人間関係や社会性
言語やコミュニケーション"
スケジュールの流れに見通しを持ち、集団活動に参加することができる。,"健康や生活
認知や行動"
周囲の状況を確認しながら、体を思いっきり動かして楽しむことができる。,運動や感覚
集団の中での指示理解や協調性が向上する。,"運動や感覚
人間関係や社会性"
相手の話をよく聞き、気持ちを共有しながら一緒に楽しく遊ぶことができる。,言語やコミュニケーション
身辺の持ち物管理や片付け・準備を自分で出来るようにな,"健康や生活
認知や行動"
新しい環境に慣れ、安心して楽しく過ごすことができる。,"言語やコミュニケーション
認知や行動"
自分の気持ちを表現しながら、お友達と仲良く遊ぶことができる。,"運動や感覚
人間関係や社会性"
トイレで排泄ができるようになる。,健康や生活
新しい環境に慣れて楽しく過ごすことができる。,健康や生活
挑戦したことをたくさん褒めてもらうことで、自信をつけていく。,"運動や感覚
認知や行動"
困った時や不安な時に気持ちを伝えることができる。,"言語やコミュニケーション
人間関係や社会性"
新しい環境や生活リズムに慣れよう。,"健康や生活	"
色々な人との会話を楽しもう。,"言語やコミュニケーション
人間関係や社会性"
トイレ使用のやり方を覚えよう。,"認知や行動
運動や感覚"
中学校進学へ向けて、今の生活リズムを継続できるようにしよう。,"認知や行動
健康や生活"
自分の思いを大きな声で伝えられるようになろう。,"言語やコミュニケーション
人間関係や社会性
運動や感覚"
こども園や児童発達支援事業所の生活を楽しもう。,健康や生活
色々な活動にチャレンジしよう。,"運動や感覚
認知や行動"
お友達や先生とたくさんお話をしよう。,"言語やコミュニケーション
人間関係や社会性"
最後まで集中してお話を聞こう。,"言語やコミュニケーション
認知や行動"
相手の気持ちを受け止められるようになろう。,"運動や感覚
人間関係や社会性"
整理整頓ができるようになろう。,健康や生活
こども園や児童発達支援事業所の生活を楽しもう。,健康や生活
自分の思いを相手に伝えてみよう。,"言語やコミュニケーション
人間関係や社会性"
色々なことにチャレンジしよう。,"運動や感覚
認知や行動"
自分の思いを言葉で伝えよう,"言語やコミュニケーション
人間関係や社会性"
気持ちに折り合いをつけよう。,"認知や行動
健康や生活"
色々なことにチャレンジしよう。,運動や感覚
まわりを見て自分で考えて行動できるようになろう。,"言語やコミュニケーション
人間関係や社会性"
相手のことを意識した行動ができるようになろう。,"認知や行動
健康や生活"
色々なことにチャレンジしよう。,運動や感覚
こども園や児童発達支援事業所の生活を楽しもう。,健康や生活
自分の思いを言葉で伝えてみよう。,"言語やコミュニケーション
人間関係や社会性"
やるべきことを思い出しながら身の回りのことができる,健康や生活
トレキングや室内遊び公園遊びを通して身体を動かす,運動や感覚
ふれあいサイコロゲーム等を通して自分の気持ち　他者の気持ちを考える,認知や行動
聞いた内容を自分の言葉で確認できるようになる,言語やコミュニケーション
小集団の中で言葉のやり取りをしながらお互いの意見を尊重しながらかかわる事が出来る,人間関係や社会性
自分の体調や気持ちの状態を言葉で伝えながら、安心して活動に参加出来る,健康や生活
トレキングで身体の正しい使い方を身につける,運動や感覚
自分の気持ち　他者の気持ちの理解を深める,認知や行動
会話の中で相手の話を聞いて自分の意見も相手に伝える経験を増やしていく,言語やコミュニケーション
自分の言葉、行動に責任を持って他者と関わることが増えていく,人間関係や社会性
自分の疲れや不快感に気づき、適切に休息や調整を求められるようになる,健康や生活
トレキングや外遊び、皆で遊ぼう等を通して身体を正しく動かす,運動や感覚
見通しを持ち、自発的に活動に参加出来るようになる,認知や行動
自分の気持ちを適切に言葉で表現できるようになる,言語やコミュニケーション
自分を守りながら他者と関われるようになる,人間関係や社会性
「止まる」「待つ」が支援のもとで少ない声がけで出来るようになる,健康や生活
トレキングや外遊び、皆で遊ぼうをとおして身体を動かす,運動や感覚
ルールを理解し、守ろうとする経験を積む,認知や行動
自分の気持ちや思いを言葉で表現することを増やしていく,言語やコミュニケーション
小集団（２～３人）での活動に５分程度ルールを守って参加できる,人間関係や社会性
嫌な気持ちになった時に職員に言葉で伝えることができる,健康や生活
トレキング、皆で遊ぼう、外遊びを通して楽しみながら身体を動かすことができる,運動や感覚
ふれあいサイコロや絵本の読み聞かせを通して自分の気持ち　相手の気持ちを知り思いを言語化することが今よりも増えていく,認知や行動
「嬉しい」「やりたくない」「悲しい」「手伝ってほしい」などの感情語を増やす,言語やコミュニケーション
自分の得意な所、友達の得意な所、自分の苦手な所、友達の苦手な所を受け入れながら友達とかかわることができる,人間関係や社会性
身の回りの事を声がけがなくても出来るようになる,健康や生活
トレキングやみんなで遊ぼうなどで身体を正しく楽しく動かす,運動や感覚
ふれあいサイコロを通して自分の気持ち他者の気持ちの理解を深める,認知や行動
自分の気持ちの表現方法を身につける,言語やコミュニケーション
困った時　助けが必要な時に「助けてください」「困っています」など支援者に伝えられるようになる,人間関係や社会性
定期的に便座に座り排泄出来るようになる,健康や生活
トレキングやみんなで遊ぼうを通して身体を正しく使う事が出来る,運動や感覚
ふれあいサイコロ、シンキングタイムの中で　自分の気持ちを言語化する,認知や行動
大人との１対１のやり取りを通して安心して伝える経験を積む,言語やコミュニケーション
他者との関わりを深めていく,人間関係や社会性
身の回りの整理、整頓　準備が出来る,健康や生活
トレキングや室内遊び、外遊びを通して身体を動かす,運動や感覚
ふれあいサイコロ　シンキングタイムの中で自分の気持ちの表現方法を広げていく,認知や行動
自分の気持ちや意見を安心できる環境で表現できるようになる,言語やコミュニケーション
他者との関わりの中で自分の意見を先にいう場面が今よりも増えていく,人間関係や社会性
疲れた時、静かな場所に行きたい時、１人になりたい時に静養室に移動してクールダウンが出来る,健康や生活
トレキング、皆で遊ぼう、外遊び、室内遊びを通して身体を楽しく正しく動かす事ができる,運動や感覚
困った時に援助を求める練習をしていく,認知や行動
子ども同士の関わりの中で「ありがとう」「ばいばい」などの言葉のやり取りが今よりも増えていく,言語やコミュニケーション
小集団の遊びの中で自分の気持ちを言語化して相手に伝えて、相手の気持ちも聞くことができる,人間関係や社会性
自分の体調管理（暑い時は脱ぐ　寒い時は着る　喉が渇いたら飲む　疲れた時は休憩する等）を引き続き行っていく,健康や生活
トレキング　みんなで遊ぼう等を通して身体を正しく動かせるようになる,運動や感覚
ふれあいサイコロやシンキングタイムで自分の気持ちと向き合い、言葉に出せる事が今よりももっと増えていく,認知や行動
協力型ゲーム（ジェンガ、ウノ、なんじゃもんじゃ等）のルール設定、順番を子供たち同士で決めて遊ぶことができる,言語やコミュニケーション
小集団の中で役割を持ち、役割を遂行する事ができる,人間関係や社会性
活動の流れを理解し安心して落ち着いて過ごすことができる,健康や生活
トレキングやみんなで遊ぼうを通して身体を動かす,運動や感覚
シンキングタイム　ふれあいサイコロを通して自分の気持ち　他者の気持ちと向き合う,認知や行動
小集団の活動の中で自分の気持ちや考えを相手に伝えることが増えていく,言語やコミュニケーション
小集団活動を通して友達と関わる経験を増やし安心して関係を築ける,人間関係や社会性
自主的に手洗い　うがいなどを行い病気の予防が出来る,健康や生活
トレキング、公園遊び　室内での集団遊びを通して身体を動かす,運動や感覚
身の回りの整理整頓を行う。忘れ物をしないようにする,認知や行動
異年齢の友達、同級生との関わりの中で年齢に応じた対応が出来るようになる,言語やコミュニケーション
他者が間違えたことをしても許せるようになる,人間関係や社会性
安心して過ごせる関りを大切にし、情緒の安定を図る,健康や生活
トレキングやみんなで遊ぼうを通して身体を動かす,運動や感覚
その場に合った行動や言動について具体的な理解が深まる,認知や行動
感情の表現が今よりも出来るようになる,言語やコミュニケーション
集団生活の中で成功体験を積み自信につなげる,人間関係や社会性
便座で排泄を出来ることが今よりも増える,健康や生活
トレキング　外遊び　室内遊びを通して身体を楽しく動かす,運動や感覚
ふれあいサイコロやシンキングタイムを通して自分の感情を認識し言語化、行動化出来ることが今よりも増えていく,認知や行動
自分の気持ちを言葉で伝えていく,言語やコミュニケーション
小集団での活動を通して友達との関わりを持つ,人間関係や社会性
身の回りの整理整頓が出来るようになる,健康や生活
トレキングや室内遊び、外遊びを通して身体を動かす,運動や感覚
シンキングタイムを通して自分の気持ちと向き合う事が出来るようになる,認知や行動
集団療育、個別療育ともに決められた時間に参加出来るようになる,言語やコミュニケーション
困った時に言葉で伝えることができる,人間関係や社会性
ランドセルを棚から落ちないように入れる。上着をハンガーにかける。脱いだ靴下を棚にいれる,健康や生活
身体を正しく使う、動かす事が出来るようになる,運動や感覚
自分の気持ちを整理し場面に合った行動が出来るようになる,認知や行動
通所時に１日の流れ、プログラムを確認し予定表にそって行動出来るようになる,言語やコミュニケーション
小集団の遊びの中で自分の意見を言う　相手の意見を聞く。友達同士で話し合い決定していくことが出来るようになる,人間関係や社会性
定期的にトイレに行き便座に座れるようになる,健康や生活
みんなで遊ぼう、外遊び、トレキング等をとおして身体を正しく使う事が出来る,運動や感覚
自己表現方法を増やしていく,認知や行動
具体的に自分の気持ちを言葉にして伝える事が出来るようになる,言語やコミュニケーション
小集団の遊びの中で子ども同士で安心して最後まで遊べるようになる,人間関係や社会性
身の回りの整理　整頓を焦らずに確実に出来るようになる,健康や生活
トレキング、みんなで遊ぼう等を通して正しく身体を動かす事が出来る,運動や感覚
指示を理解し、順序立てて行動出来るようになる,認知や行動
自分の気持ちを言葉で伝えることが今よりも増える,言語やコミュニケーション
他児や職員と安心して過ごせるようになり母子分離不安が軽減する,人間関係や社会性
生活リズムと見通しを整え、時間や順番を意識して生活できるようになる,健康や生活
トレキングや室内遊び、外遊びを通して身体を正しく使えるようになる,運動や感覚
ふれあいサイコロ、シンキングタイムを通して自分の気持ちと向き合うと共にコミュニケーション能力を高める,認知や行動
ペア活動　少人数活動の中で自分の意見を人を選ばずに相手に伝える事が出来る,人間関係や社会性
小学校入学に向けて身の回りの事を自分で出来るようになる,健康や生活
外遊び、室内遊び等をとおして身体を正しく使えるようになる,運動や感覚
使える語彙を増やしていくと共に言葉の理解を深めていく,認知や行動
意に反する事があった時に自分の思いを言葉で相手に伝えきる事が出来るようになる,言語やコミュニケーション
言葉の理解を深めて同年代の友達との交流を深めていく,人間関係や社会性
まんまるに到着後のルーティンを覚えて声がけが無くても出来るようになる,健康や生活
日常生活の中での活動で大人の指示に着目し行動できる,"健康や生活
認知や行動
人間関係や社会性"
運動遊びや感覚統合の活動（前庭覚・固有覚）から気持ちや身体全体の発達を促す,"運動や感覚
人間関係や社会性"
理解言語を増やす,言語やコミュニケーション
大人との関係性を密にして興味関心を人へと移行します,"認知や行動
言語やコミュニケーション
人間関係や社会性"
感覚遊びや運動を楽しみ、出来たという成功体験を積んでいく,"運動や感覚
認知や行動"
日常生活の中でのルールを理解して行動し場面での言葉や気持ちの代弁などから理解言語をふやす。,"健康や生活
言語やコミュニケーション"
大人との関係性を密にし興味関心を人へと移行できるようの支援します,"認知や行動
人間関係や社会性
言語やコミュニケーション"
簡単なルールを理解して活動に参加でき、専門的な支援の基ボディーイメージを高める,"人間関係や社会性
運動や感覚
認知や行動"
日常生活での経験を積み身辺自立（服を脱いでたたむ・等）や片付ける・用意するがスムーズにできる,"健康や生活
認知や行動"
場面ごとや簡単なルールを理解し楽しむことが出来る,"健康や生活
言語やコミュニケーション
人間関係や社会性
認知や行動"
大人の反応に注目したり指示を待って行動することが出来る,"認知や行動
人間関係や社会性
言語やコミュニケーション"
様々な運動遊びや感覚遊びを経験し楽しむ,運動や感覚
相手と思いの違いを受け入れ妥協点を見つけられる,"言語やコミュニケーション
人間関係や社会性
運動や感覚"
ルールの中で過ごす,"健康や生活
認知や行動"
言葉の概念を知り思いを言語化できる,言語やコミュニケーション
語彙数を増やし理解言語を増やす,"認知や行動
言語やコミュニケーション"
大人との関係性を密にして人に興味関心が出てくるように支援していきます。,"人間関係や社会性
運動や感覚
言語やコミュニケーション"
基本的な運動から身体の使い方を知る,"健康や生活
運動や感覚"
自宅以外の場所で過ごす,"認知や行動
人間関係や社会性"
生活のリズムを確立させ生活習慣を整えていく,"言語やコミュニケーション
健康や生活"
外の外気に触れ心地よさを感じたり身体を動かす楽しさに触れる,運動や感覚
苦手な部分を知る,"認知や行動
運動や感覚"
ルールの意義を理解しようとする,"言語やコミュニケーション
人間関係や社会性"
時間管理の方法を探れる,"健康や生活
認知や行動"
興味関心がある活動を周りの大人と一緒に行う事で人へ注目する力を育む。,"人間関係や社会性
言語やコミュニケーション
運動や感覚"
日常生活の中での動作の向上を目指す,"健康や生活
認知や行動"
語彙数を増やし理解言語を増やす,"認知や行動
言語やコミュニケーション"
抽象的な概念の理解を深める。,"言語やコミュニケーション
認知や行動
運動や感覚"
苦手なことを知る,"運動や感覚
健康や生活"
興味のあることを使ってコミュニケーションをとる,人間関係や社会性
新しい生活リズムが安定して送れるようになる。,"健康や生活
認知や行動"
ストレスや不安を溜めない。,運動や感覚
安心して話せる支援者や仲間と過ごす。,"人間関係や社会性
言語やコミュニケーション"
視覚手順・スケジュールを活用しながらトイレ・洗いを自発的に行うことが出来る。,"健康や生活
認知や行動"
力加減、止まる・待つ・ゆっくり動く等の自己調整が向上し、集団活動中の安全行動（やさしく・ストップ合図で停止）が身につく。,運動や感覚
"言葉以外でコミュニケーションツールを増やしていく。
スタッフと一緒に他者と関わりを持ち、場面に応じたやり取り（あいさつやお礼、お願い）がサインや指さし、カード、簡単な発声で出来るようになる。","言語やコミュニケーション
人間関係や社会性"
自分の体調や気持ちを理解し、伝えることが出来る,"健康や生活
認知や行動"
活動に参加し好きなことや興味のあることを見つけていく。,"運動や感覚
認知や行動"
活動や生活の中で日常での日本語理解が深まり、他者との関わりを楽しむことが出来る。,"人間関係や社会性
言語やコミュニケーション
認知や行動"
毎日の生活リズムが安定し見通しをもって身だしなみや持ち物管理が出来る。,"健康や生活
認知や行動"
音読や漢字の練習を通して国語の学習の苦手意識をなくしましょう。,言語やコミュニケーション
楽しくいっしょに遊びましょう。,人間関係や社会性
友だちやスタッフと楽しく体を使って遊びましょう。,運動や感覚
算数の問題を解くこつを定着させましょう。,認知や行動
使ったものを片づけてから、次の物を出しましょう。,健康や生活
自分の好きなことや得意なことを楽しみましょう。,認知や行動
自分の思いや気持ちを文にしましょう。,言語やコミュニケーション
人の気持ちに気付いて思いやる気持ちを持ちましょう。,人間関係や社会性
体を動かす遊びや手先を使う遊びをしましょう。,運動や感覚
ストレスに打ち勝つ強い心を育てましょう。,健康や生活
小さな遊びにも、それぞれルールがあることを理解して、心穏やかに遊びましょう。,人間関係や社会性
国語の音読や漢字の習得のために宿題をしましょう。,言語やコミュニケーション
ケド等のさんすうの宿題をしましょう。,認知や行動
体幹を鍛えましょう。,運動や感覚
無理をしないように体をいたわりながら、バランスよく体が成長するよう自分の生活をマネジメントしましょう。,健康や生活
来所後検温をし、職員へ健康の状態を報告しましょう。,健康や生活
運動や散歩などの時間は、みんなと一緒に参加しましょう。,運動や感覚
ウィズ・ユーでの過ごし方を覚え、帰りの会に参加したり、今日の当番の仕事をしましょう。,認知や行動
ひらがなを書いたり読む練習をしましょう。,言語やコミュニケーション
活動や、小集団の輪に参加しましょう。,人間関係や社会性
乗車するまでや、外に出るときに職員と手をつないで安全に過ごしましょう。,認知や行動
自分の気分にかかわりなく集団活動に参加しましょう。,人間関係や社会性
物の機能や属性、形、色、音が変化する様子、大小、数、重さ、空間、時間等の概念の形成を図り、活用しましょう。,認知や行動
国語の音読で普通級の学習の定着を図りましょう。,言語やコミュニケーション
基本的な生活スキルを身につけ、身辺自立へつなげていきましょう。,健康や生活
他の子と一緒に体を使った遊びをしたり、集団活動に参加しましょう。,運動や感覚
自由時間と集団活動の時間を理解して過ごしましょう。,健康や生活
体幹を鍛える運動に参加しましょう。,運動や感覚
さんすうの問題をしましょう。,認知や行動
国語の音読を習慣にしましょう。,言語やコミュニケーション
お友だちと一緒に楽しく遊びましょう。,人間関係や社会性
皆のしているスポーツに参加し、運動の苦手感を持つことなく楽しみましょう。,運動や感覚
学校の国語の音読をしましょう。,言語やコミュニケーション
コブや裂きイカなどを噛んで、噛む癖を定着させましょう。,認知や行動
自分の身の回りのことは自分でしましょう。,健康や生活
踊りや歌をいっしょに楽しく歌うことを通じて人とのつながりを育てましょう。,人間関係や社会性
整理整頓や掃除を覚えましょう。,健康や生活
体を動かす活動に参加できるようになりましょう。,運動や感覚
音に対する過敏に配慮して集団の中で過ごせるよう支援します。,認知や行動
話したいという気持ちを大切に交友関係を持ちましょう。,言語やコミュニケーション
子ども同士の小集団の中で過ごす時間を増やしていきましょう。,人間関係や社会性
同年代の友だち作りをしましょう。,人間関係や社会性
学校の宿題のケドを主に算数の学習に前向きに取り組みましょう。,認知や行動
音読や漢字の書き取りで着実な力を身につけましょう。,言語やコミュニケーション
